,donorID,campaignID,frequency_donor,total_donated,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,total_amount_1_month,total_freq_1_month,total_amount_2_month,total_freq_2_month,total_amount_3_month,total_freq_3_month,total_amount_4_month,total_freq_4_month,total_amount_5_month,total_freq_5_month,total_amount_6_month,total_freq_6_month,Recency_dono,zipcode,province,region,gender,language,total_freq_till_now,total_amount_till_now,freq_out_campaign,amount_out_campaign,freq_in_campaign,amount_in_campaign,total_amount_till_last_3_years,total_freq_till_last_3_years,donated_more_than30_duringdv,Age
7229,108706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8978.0,12.0,2.0,1.0,3.0,9.0,137.06,0.0,0.0,9.0,137.06,0.0,0.0,0,38.0
7230,108707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2980.0,1.0,2.0,0.0,3.0,35.0,914.29,0.0,0.0,35.0,914.29,0.0,0.0,0,38.0
7231,108708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650.0,1.0,2.0,0.0,3.0,10.0,365.46000000000004,1.0,30.0,9.0,335.46000000000004,0.0,0.0,0,30.0
7232,108709,4991.0,1.0,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,9990.0,3.0,2.0,1.0,3.0,10.0,67.3,0.0,0.0,10.0,67.3,4.45,1.0,0,71.0
7233,108710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9340.0,3.0,2.0,0.0,3.0,1.0,6.2,0.0,0.0,1.0,6.2,0.0,0.0,0,35.0
7234,108711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9160.0,3.0,2.0,0.0,3.0,4.0,24.8,0.0,0.0,4.0,24.8,0.0,0.0,0,40.0
7235,108712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3890.0,7.0,2.0,0.0,3.0,3.0,24.790000000000003,0.0,0.0,3.0,24.790000000000003,0.0,0.0,0,38.0
7236,108713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9050.0,3.0,2.0,0.0,3.0,12.0,82.42,0.0,0.0,12.0,82.42,0.0,0.0,0,47.0
7237,108714,5326.0,1.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,9450.0,3.0,2.0,1.0,3.0,4.0,69.67,0.0,0.0,4.0,69.67,0.0,0.0,0,26.0
7238,108715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8490.0,12.0,2.0,0.0,3.0,6.0,111.53,0.0,0.0,6.0,111.53,0.0,0.0,0,49.0
