,donorID,campaignID,frequency_donor,total_donated,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,total_amount_1_month,total_freq_1_month,total_amount_2_month,total_freq_2_month,total_amount_3_month,total_freq_3_month,total_amount_4_month,total_freq_4_month,total_amount_5_month,total_freq_5_month,total_amount_6_month,total_freq_6_month,Recency_dono,zipcode,province,region,gender,language,total_freq_till_now,total_amount_till_now,freq_out_campaign,amount_out_campaign,freq_in_campaign,amount_in_campaign,total_amount_till_last_3_years,total_freq_till_last_3_years,donated_more_than30_duringdv,Age
0,100001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1861.0,4,2,1.0,3,12.0,178.49,1.0,12.39,11.0,166.1,0.0,0.0,0,51
1,100002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2260.0,1,2,0.0,3,1.0,20.0,0.0,0.0,1.0,20.0,0.0,0.0,0,67
2,100008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780.0,4,2,0.0,2,3.0,124.37,0.0,0.0,3.0,124.37,0.0,0.0,0,81
3,100009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.0,2,1,0.0,2,19.0,326.78000000000003,0.0,0.0,19.0,326.78000000000003,0.0,0.0,0,87
4,100010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.0,2,1,0.0,2,1.0,40.0,0.0,0.0,1.0,40.0,0.0,0.0,0,36
5,100011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090.0,2,1,0.0,3,1.0,100.0,0.0,0.0,1.0,100.0,100.0,1.0,0,56
6,100012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.0,2,1,1.0,2,1.0,5.0,0.0,0.0,1.0,5.0,5.0,1.0,0,41
7,100018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030.0,2,1,1.0,2,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0,26
8,100019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030.0,2,1,0.0,2,3.0,90.0,0.0,0.0,3.0,90.0,30.0,1.0,0,48
9,100021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030.0,2,1,0.0,2,9.0,181.47,0.0,0.0,9.0,181.47,0.0,0.0,0,46
10,100022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030.0,2,1,0.0,2,2.0,25.0,0.0,0.0,2.0,25.0,0.0,0.0,0,65
11,100026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500.0,1,2,1.0,3,8.0,125.0,1.0,32.0,7.0,93.0,0.0,0.0,0,35
12,100029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3080.0,4,2,0.0,3,2.0,40.0,0.0,0.0,2.0,40.0,20.0,1.0,0,46
13,100031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040.0,2,1,0.0,3,1.0,10.0,0.0,0.0,1.0,10.0,0.0,0.0,0,53
14,100034,6170.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,1030.0,2,1,0.0,3,1.0,25.0,0.0,0.0,1.0,25.0,0.0,0.0,0,60
15,100036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040.0,2,1,1.0,3,1.0,39.0,0.0,0.0,1.0,39.0,0.0,0.0,0,58
16,100037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,2,1,1.0,3,1.0,12.0,0.0,0.0,1.0,12.0,12.0,1.0,0,31
17,100045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040.0,2,1,1.0,2,1.0,5.0,0.0,0.0,1.0,5.0,5.0,1.0,0,87
18,100046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030.0,2,1,0.0,2,1.0,50.0,0.0,0.0,1.0,50.0,0.0,0.0,0,31
19,100048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,2,1,0.0,2,2.0,75.0,0.0,0.0,2.0,75.0,39.0,1.0,0,43
20,100052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,2,1,0.0,2,1.0,10.0,0.0,0.0,1.0,10.0,0.0,0.0,0,54
21,100055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,2,1,1.0,2,2.0,66.0,0.0,0.0,2.0,66.0,0.0,0.0,0,52
22,100056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,2,1,1.0,2,1.0,25.0,0.0,0.0,1.0,25.0,25.0,1.0,0,28
23,100058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,2,1,1.0,2,24.0,333.69,2.0,23.55,22.0,310.13999999999993,0.0,0.0,0,49
24,100060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,2,1,1.0,2,1.0,30.0,0.0,0.0,1.0,30.0,0.0,0.0,0,70
25,100061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,2,1,1.0,3,1.0,226.0,0.0,0.0,1.0,226.0,0.0,0.0,0,64
26,100064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,2,1,0.0,2,1.0,10.0,0.0,0.0,1.0,10.0,0.0,0.0,0,41
27,100066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.0,2,1,1.0,2,1.0,39.0,0.0,0.0,1.0,39.0,0.0,0.0,0,59
