,donorID,campaignID,frequency_donor,total_donated,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,total_amount_1_month,total_freq_1_month,total_amount_2_month,total_freq_2_month,total_amount_3_month,total_freq_3_month,total_amount_4_month,total_freq_4_month,total_amount_5_month,total_freq_5_month,total_amount_6_month,total_freq_6_month,Recency_dono,Unnamed: 0_x,zipcode,province,region,gender,language,Unnamed: 0_y,total_freq_till_now,total_amount_till_now,freq_out_campaign,amount_out_campaign,freq_in_campaign,amount_in_campaign,total_amount_till_last_3_years,total_freq_till_last_3_years,Age
22926,116350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16349,8460.0,12,2,0.0,3,118821.0,19.0,397.78000000000003,0.0,0.0,19.0,397.78000000000003,40.0,1.0,57
22927,111534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11533,3722.0,7,2,0.0,3,92661.0,14.0,520.37,1.0,50.0,13.0,470.37,50.0,1.0,31
22928,119263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19262,9080.0,3,2,0.0,3,133478.0,23.0,917.08,0.0,0.0,23.0,917.08,0.0,0.0,56
22929,128718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28717,8750.0,12,2,0.0,3,175580.0,5.0,120.0,0.0,0.0,5.0,120.0,0.0,0.0,43
22930,114071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14070,2000.0,1,2,0.0,3,107434.0,11.0,381.6,0.0,0.0,11.0,381.6,0.0,0.0,33
22931,114808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14807,8900.0,12,2,0.0,3,110928.0,4.0,95.0,0.0,0.0,4.0,95.0,40.0,2.0,75
22932,121654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21653,9255.0,3,2,1.0,3,145479.0,2.0,22.39,0.0,0.0,2.0,22.39,0.0,0.0,56
22933,129792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29791,2600.0,1,2,0.0,3,179038.0,3.0,52.25,0.0,0.0,3.0,52.25,0.0,0.0,30
22934,129675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29674,9140.0,3,2,0.0,3,178751.0,1.0,10.0,0.0,0.0,1.0,10.0,0.0,0.0,28
22935,138799,7090.0,4.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,38798,1570.0,4,2,1.0,3,205990.0,5.0,50.0,0.0,0.0,5.0,50.0,40.0,4.0,61
22936,119671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19670,3600.0,7,2,0.0,3,135355.0,9.0,256.37,0.0,0.0,9.0,256.37,0.0,0.0,32
22937,131801,7074.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,31800,8480.0,12,2,1.0,3,185925.0,2.0,43.0,0.0,0.0,2.0,43.0,30.0,1.0,75
22938,141105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41104,8370.0,12,2,1.0,3,209482.0,1.0,10.0,0.0,0.0,1.0,10.0,0.0,0.0,49
22939,127027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27026,1880.0,4,2,1.0,3,169047.0,4.0,70.0,0.0,0.0,4.0,70.0,0.0,0.0,68
22940,116198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16197,2960.0,1,2,0.0,3,117870.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,34
22941,107439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7438,2920.0,1,2,0.0,3,64324.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,44
22942,110569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10568,1800.0,4,2,0.0,3,87005.0,7.0,65.0,0.0,0.0,7.0,65.0,0.0,0.0,36
22943,107881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7880,1070.0,2,1,0.0,3,67575.0,2.0,70.0,0.0,0.0,2.0,70.0,40.0,1.0,77
22944,105220,7505.0,1.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,5219,8500.0,12,2,0.0,3,47085.0,3.0,86.74000000000001,0.0,0.0,3.0,86.74000000000001,0.0,0.0,29
22945,111338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11337,2660.0,1,2,1.0,3,91708.0,9.0,251.16,2.0,54.79,7.0,196.37,0.0,0.0,53
22946,134547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34546,3401.0,4,2,0.0,3,194765.0,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,52
22947,143657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43656,3500.0,7,2,1.0,3,213790.0,1.0,10.0,0.0,0.0,1.0,10.0,10.0,1.0,27
22948,104938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4937,9968.0,3,2,1.0,3,44567.0,7.0,169.36,0.0,0.0,7.0,169.36,0.0,0.0,38
22949,102224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2223,2450.0,1,2,1.0,3,20211.0,19.0,709.1899999999999,9.0,411.15,10.0,298.04,0.0,0.0,74
22950,120524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20523,1700.0,4,2,1.0,3,140258.0,1.0,30.0,0.0,0.0,1.0,30.0,0.0,0.0,28
22951,113310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13309,5030.0,10,4,1.0,2,103480.0,1.0,100.0,0.0,0.0,1.0,100.0,0.0,0.0,51
22952,119393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19392,8880.0,12,2,1.0,3,134176.0,8.0,229.57999999999998,4.0,120.0,4.0,109.58,0.0,0.0,82
22953,115918,7244.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,15917,8310.0,12,2,1.0,3,116475.0,3.0,80.168,0.0,0.0,3.0,80.168,0.0,0.0,72
22954,144339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44338,3470.0,4,2,0.0,3,214692.0,1.0,10.0,0.0,0.0,1.0,10.0,10.0,1.0,55
22955,115854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15853,8200.0,12,2,1.0,3,116244.0,4.0,57.35,0.0,0.0,4.0,57.35,0.0,0.0,27
22956,118149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18148,8200.0,12,2,0.0,3,128589.0,23.0,565.37,0.0,0.0,23.0,565.37,0.0,0.0,33
22957,133193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33192,8572.0,12,2,0.0,3,190387.0,1.0,20.11,0.0,0.0,1.0,20.11,0.0,0.0,65
22958,124271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24270,9160.0,3,2,0.0,3,157643.0,1.0,36.0,0.0,0.0,1.0,36.0,0.0,0.0,44
22959,135811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35810,3300.0,4,2,1.0,3,198478.0,4.0,200.0,0.0,0.0,4.0,200.0,100.0,2.0,79
22960,109647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9646,3600.0,7,2,1.0,3,79856.0,1.0,12.39,1.0,12.39,0.0,0.0,0.0,0.0,63
22961,139842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39841,3630.0,7,2,1.0,3,207588.0,1.0,30.0,0.0,0.0,1.0,30.0,0.0,0.0,43
22962,108311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8310,9150.0,3,2,1.0,3,70360.0,1.0,7.44,0.0,0.0,1.0,7.44,0.0,0.0,37
22963,143420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43419,7600.0,5,4,0.0,2,213513.0,1.0,50.0,1.0,50.0,0.0,0.0,50.0,1.0,68
22964,121521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21520,8500.0,12,2,0.0,3,144804.0,2.0,56.79,0.0,0.0,2.0,56.79,0.0,0.0,54
22965,130340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30339,1790.0,4,2,1.0,3,180673.0,2.0,20.0,0.0,0.0,2.0,20.0,0.0,0.0,68
22966,132353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32352,2800.0,1,2,0.0,3,187830.0,1.0,30.0,0.0,0.0,1.0,30.0,0.0,0.0,80
22967,121344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21343,2500.0,1,2,1.0,3,144018.0,5.0,215.287,0.0,0.0,5.0,215.287,123.0,1.0,86
22968,103308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3307,9185.0,3,2,1.0,3,30669.0,42.0,234.96,1.0,4.96,41.0,230.0,15.0,3.0,95
22969,141933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41932,8940.0,12,2,1.0,3,210795.0,3.0,35.0,0.0,0.0,3.0,35.0,0.0,0.0,53
22970,141185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41184,3090.0,4,2,0.0,3,209611.0,1.0,30.0,0.0,0.0,1.0,30.0,0.0,0.0,27
22971,125722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25721,2550.0,1,2,0.0,3,163512.0,1.0,33.0,0.0,0.0,1.0,33.0,0.0,0.0,53
22972,103469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3468,9090.0,3,2,1.0,3,32172.0,10.0,134.42000000000002,1.0,12.39,9.0,122.03,0.0,0.0,64
22973,114082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14081,2845.0,1,2,1.0,3,107497.0,5.0,61.95,0.0,0.0,5.0,61.95,0.0,0.0,54
22974,141551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41550,2140.0,1,2,0.0,3,210165.0,1.0,10.0,0.0,0.0,1.0,10.0,0.0,0.0,47
22975,126488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26487,8554.0,12,2,1.0,3,166756.0,23.0,247.0,0.0,0.0,23.0,247.0,0.0,0.0,46
22976,131128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31127,9100.0,3,2,1.0,3,183564.0,1.0,50.0,0.0,0.0,1.0,50.0,0.0,0.0,34
