,donorID,campaignID,frequency_donor,total_donated,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,total_amount_1_month,total_freq_1_month,total_amount_2_month,total_freq_2_month,total_amount_3_month,total_freq_3_month,total_amount_4_month,total_freq_4_month,total_amount_5_month,total_freq_5_month,total_amount_6_month,total_freq_6_month,Recency_dono,total_donated_during_dv,gender,dateOfBirth,province_Brussels,province_East Flanders,province_Flemish Brabant,province_Hainaut,province_Liege,province_Limburg,province_Luxembourg,province_Missing,province_Namur,province_Walloon Brabant,province_West Flanders,region_Flanders,region_Missing,region_Wallonia,language_FR,language_NL,total_freq_till_now,total_amount_till_now,freq_out_campaign,amount_out_campaign,freq_in_campaign,amount_in_campaign,total_amount_till_last_3_years,total_freq_till_last_3_years,donated_more_than30_duringdv,Age
5333,112282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1975-08-08,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8.0,195.14000000000001,1.0,24.79,7.0,170.35,0.0,0.0,0,43
5334,112284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1955-10-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.0,63.81,0.0,0.0,2.0,63.81,0.0,0.0,0,63
5335,112290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1994-05-28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,9.0,286.44,4.0,137.1,5.0,149.34,0.0,0.0,0,25
5336,112292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1985-05-10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7.0,213.81,0.0,0.0,7.0,213.81,0.0,0.0,0,34
5337,112298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1965-06-20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5.0,198.32,0.0,0.0,5.0,198.32,0.0,0.0,0,53
5338,112299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1992-12-20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16.0,373.52,1.0,24.79,15.0,348.73,0.0,0.0,0,26
5339,112300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1957-11-12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,11.0,396.76,0.0,0.0,11.0,396.76,0.0,0.0,0,61
5340,112302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1984-05-23,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.0,66.81,0.0,0.0,2.0,66.81,0.0,0.0,0,35
5341,112303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1963-02-22,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5.0,95.77000000000001,0.0,0.0,5.0,95.77000000000001,0.0,0.0,0,56
5342,112304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1935-10-16,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,15.0,476.19,0.0,0.0,15.0,476.19,0.0,0.0,0,83
