,donorID,frequency_donor,total_donated,Recency_dono,zipcode,province,region,gender,language,donated_more_than30_duringdv,Age
0,100001,1.0,31.77841836734694,51.21938775510204,1861.0,4.0,2.0,1.0,3.0,0,50.0
1,100002,1.0,31.77841836734694,51.21938775510204,2260.0,1.0,2.0,0.0,3.0,0,66.0
2,100004,1.0,31.77841836734694,51.21938775510204,1020.0,2.0,1.0,1.0,2.0,0,66.0
3,100008,1.0,31.77841836734694,51.21938775510204,1780.0,4.0,2.0,0.0,2.0,0,81.0
4,100009,1.0,31.77841836734694,51.21938775510204,1020.0,2.0,1.0,0.0,2.0,0,86.0
5,100010,1.0,31.77841836734694,51.21938775510204,1020.0,2.0,1.0,0.0,2.0,0,35.0
6,100011,1.0,31.77841836734694,51.21938775510204,1090.0,2.0,1.0,0.0,3.0,0,55.0
7,100012,1.0,31.77841836734694,51.21938775510204,1020.0,2.0,1.0,1.0,2.0,0,41.0
8,100013,1.0,31.77841836734694,51.21938775510204,1030.0,2.0,1.0,1.0,2.0,0,44.0
9,100014,1.0,31.77841836734694,51.21938775510204,2018.0,1.0,2.0,0.0,3.0,0,32.0
10,100016,1.0,31.77841836734694,51.21938775510204,1030.0,2.0,1.0,0.0,2.0,0,39.0
11,100017,1.0,31.77841836734694,51.21938775510204,1020.0,2.0,1.0,0.0,2.0,0,61.0
12,100018,1.0,31.77841836734694,51.21938775510204,1030.0,2.0,1.0,1.0,2.0,0,25.0
13,100019,1.0,31.77841836734694,51.21938775510204,1030.0,2.0,1.0,0.0,2.0,0,47.0
14,100021,1.0,31.77841836734694,51.21938775510204,1030.0,2.0,1.0,0.0,2.0,0,45.0
15,100022,1.0,31.77841836734694,51.21938775510204,1030.0,2.0,1.0,0.0,2.0,0,64.0
16,100023,1.0,31.77841836734694,51.21938775510204,1150.0,2.0,1.0,0.0,2.0,0,63.0
17,100024,1.0,31.77841836734694,51.21938775510204,1030.0,2.0,1.0,0.0,3.0,0,24.0
18,100025,1.0,31.77841836734694,51.21938775510204,1755.0,4.0,2.0,0.0,3.0,0,54.0
19,100026,1.0,31.77841836734694,51.21938775510204,2500.0,1.0,2.0,1.0,3.0,0,35.0
20,100028,1.0,31.77841836734694,51.21938775510204,1030.0,2.0,1.0,0.0,2.0,0,46.0
21,100029,1.0,31.77841836734694,51.21938775510204,3080.0,4.0,2.0,0.0,3.0,0,45.0
22,100031,1.0,31.77841836734694,51.21938775510204,1040.0,2.0,1.0,0.0,3.0,0,52.0
23,100032,1.0,31.77841836734694,51.21938775510204,1140.0,2.0,1.0,0.0,2.0,0,43.0
24,100034,1.0,31.77841836734694,51.21938775510204,1030.0,2.0,1.0,0.0,3.0,0,59.0
25,100035,1.0,31.77841836734694,51.21938775510204,3080.0,4.0,2.0,0.0,2.0,0,80.0
26,100036,1.0,31.77841836734694,51.21938775510204,1040.0,2.0,1.0,1.0,3.0,0,57.0
27,100037,1.0,31.77841836734694,51.21938775510204,1200.0,2.0,1.0,1.0,3.0,0,30.0
28,100039,1.0,31.77841836734694,51.21938775510204,1180.0,2.0,1.0,0.0,2.0,0,66.0
29,100040,1.0,31.77841836734694,51.21938775510204,1040.0,2.0,1.0,0.0,3.0,0,50.0
30,100041,1.0,31.77841836734694,51.21938775510204,1150.0,2.0,1.0,0.0,2.0,0,36.0
31,100042,1.0,31.77841836734694,51.21938775510204,1090.0,2.0,1.0,0.0,2.0,0,64.0
32,100043,1.0,31.77841836734694,51.21938775510204,1000.0,2.0,1.0,1.0,3.0,0,28.0
33,100045,1.0,31.77841836734694,51.21938775510204,1040.0,2.0,1.0,1.0,2.0,0,86.0
34,100046,1.0,31.77841836734694,51.21938775510204,1030.0,2.0,1.0,0.0,2.0,0,30.0
35,100048,1.0,31.77841836734694,51.21938775510204,1000.0,2.0,1.0,0.0,2.0,0,42.0
36,100051,1.0,31.77841836734694,51.21938775510204,1050.0,2.0,1.0,1.0,2.0,0,26.0
37,100052,1.0,31.77841836734694,51.21938775510204,1050.0,2.0,1.0,0.0,2.0,0,53.0
38,100053,1.0,31.77841836734694,51.21938775510204,1081.0,2.0,1.0,1.0,3.0,0,24.0
39,100055,1.0,31.77841836734694,51.21938775510204,1050.0,2.0,1.0,1.0,2.0,0,52.0
40,100056,1.0,31.77841836734694,51.21938775510204,1000.0,2.0,1.0,1.0,2.0,0,27.0
41,100058,1.0,31.77841836734694,51.21938775510204,1050.0,2.0,1.0,1.0,2.0,0,48.0
42,100060,1.0,31.77841836734694,51.21938775510204,1050.0,2.0,1.0,1.0,2.0,0,69.0
43,100061,1.0,31.77841836734694,51.21938775510204,1050.0,2.0,1.0,1.0,3.0,0,64.0
44,100062,1.0,31.77841836734694,51.21938775510204,1050.0,2.0,1.0,1.0,3.0,0,80.0
45,100063,1.0,31.77841836734694,51.21938775510204,1050.0,2.0,1.0,0.0,2.0,0,50.0
46,100064,1.0,31.77841836734694,51.21938775510204,1050.0,2.0,1.0,0.0,2.0,0,40.0
47,100065,1.0,31.77841836734694,51.21938775510204,1050.0,2.0,1.0,1.0,3.0,0,42.0
48,100066,1.0,31.77841836734694,51.21938775510204,1060.0,2.0,1.0,1.0,2.0,0,58.0
49,100068,1.0,31.77841836734694,51.21938775510204,1060.0,2.0,1.0,1.0,2.0,0,25.0
50,100070,1.0,31.77841836734694,51.21938775510204,1050.0,2.0,1.0,0.0,3.0,0,63.0
51,100073,1.0,31.77841836734694,51.21938775510204,8400.0,12.0,2.0,0.0,3.0,0,32.0
52,100074,1.0,31.77841836734694,51.21938775510204,1070.0,2.0,1.0,0.0,3.0,0,49.0
53,100075,1.0,31.77841836734694,51.21938775510204,1070.0,2.0,1.0,0.0,3.0,0,62.0
54,100076,1.0,31.77841836734694,51.21938775510204,1070.0,2.0,1.0,1.0,3.0,0,33.0
55,100077,1.0,31.77841836734694,51.21938775510204,1180.0,2.0,1.0,1.0,2.0,0,44.0
56,100079,1.0,31.77841836734694,51.21938775510204,2500.0,1.0,2.0,0.0,3.0,0,49.0
57,100081,1.0,31.77841836734694,51.21938775510204,1080.0,2.0,1.0,0.0,2.0,0,86.0
58,100082,1.0,31.77841836734694,51.21938775510204,9890.0,3.0,2.0,0.0,3.0,0,55.0
59,100083,1.0,31.77841836734694,51.21938775510204,1070.0,2.0,1.0,0.0,2.0,0,47.0
60,100084,1.0,31.77841836734694,51.21938775510204,1500.0,4.0,2.0,,3.0,0,68.0
61,100086,1.0,31.77841836734694,51.21938775510204,1070.0,2.0,1.0,0.0,2.0,0,42.0
62,100087,1.0,31.77841836734694,51.21938775510204,1083.0,2.0,1.0,0.0,2.0,0,68.0
63,100089,1.0,31.77841836734694,51.21938775510204,3000.0,4.0,2.0,1.0,3.0,0,31.0
64,100090,1.0,31.77841836734694,51.21938775510204,1083.0,2.0,1.0,1.0,2.0,0,47.0
65,100091,1.0,31.77841836734694,51.21938775510204,1083.0,2.0,1.0,1.0,2.0,0,51.0
66,100092,1.0,31.77841836734694,51.21938775510204,1083.0,2.0,1.0,0.0,2.0,0,47.0
67,100093,1.0,31.77841836734694,51.21938775510204,4800.0,6.0,4.0,1.0,2.0,0,29.0
68,100094,1.0,31.77841836734694,51.21938775510204,1083.0,2.0,1.0,0.0,2.0,0,25.0
69,100095,1.0,31.77841836734694,51.21938775510204,1731.0,4.0,2.0,0.0,3.0,0,70.0
70,100096,1.0,31.77841836734694,51.21938775510204,1080.0,2.0,1.0,1.0,3.0,0,47.0
71,100097,1.0,31.77841836734694,51.21938775510204,1083.0,2.0,1.0,1.0,2.0,0,51.0
72,100099,1.0,31.77841836734694,51.21938775510204,1930.0,4.0,2.0,0.0,3.0,0,39.0
73,100100,1.0,31.77841836734694,51.21938775510204,1081.0,2.0,1.0,0.0,3.0,0,47.0
74,100101,1.0,31.77841836734694,51.21938775510204,1090.0,2.0,1.0,1.0,2.0,0,33.0
